destination_id,name,latitude,longitude,category,prefecture,description,estimated_duration_minutes,age_preference,gender_preference,tags,crowd_level,price_min_yen,price_max_yen,indoor,barrier_free,stroller_friendly
D001,首里城,26.2173,127.7199,歴史,沖縄県,琉球王国の歴史を感じる世界遺産,90,all,all,"#歴史,#文化",4,1000,1500,true,true,true
D002,美ら海水族館,26.6940,127.8779,自然,沖縄県,沖縄の海の生き物を展示する大型水族館,120,all,all,"#自然が好き,#ファミリー",5,2000,2500,true,true,true
D003,国際通り,26.2124,127.6792,ショッピング,沖縄県,那覇市の繁華街でお土産購入とグルメ,60,all,all,"#ショッピング,#グルメ",5,500,3000,false,true,true
D004,万座毛,26.4913,127.8503,自然,沖縄県,象の鼻の形をした絶景の岬,45,all,all,"#自然が好き,#絶景",3,0,0,false,false,false
D005,ひめゆりの塔,26.1011,127.7340,歴史,沖縄県,沖縄戦の歴史を学ぶ平和記念施設,60,adult,all,"#歴史,#平和学習",2,0,0,true,true,true
D006,古宇利島,26.7567,127.9678,自然,沖縄県,美しいビーチとエメラルドグリーンの海,90,all,all,"#ビーチ,#自然が好き",4,0,0,false,false,false
D007,沖縄アウトレットモールあしびなー,26.1544,127.6463,ショッピング,沖縄県,ブランド品のアウトレットショッピング,120,all,all,"#ショッピング,#ブランド",4,1000,10000,true,true,true
D008,波上宮,26.2143,127.6667,歴史,沖縄県,那覇市にある沖縄総鎮守の神社,30,all,all,"#歴史,#神社",3,0,0,false,true,true
D009,玉泉洞,26.1263,127.7547,自然,沖縄県,沖縄最大級の鍾乳洞,75,all,all,"#自然が好き,#洞窟",4,1000,1200,true,true,false
D010,アメリカンビレッジ,26.3156,127.7597,エンターテイメント,沖縄県,アメリカンな雰囲気のショッピング・娯楽施設,90,young,all,"#ショッピング,#エンターテイメント",4,500,5000,false,true,true
D011,座喜味城跡,26.4040,127.7394,歴史,沖縄県,世界遺産に登録された城跡,45,all,all,"#歴史,#城跡",2,0,0,false,false,false
D012,瀬長島ウミカジテラス,26.1951,127.6473,ショッピング,沖縄県,海を望むリゾート型商業施設,60,all,all,"#ショッピング,#海景",3,500,2000,false,true,true
D013,沖縄県立博物館・美術館,26.2291,127.6919,文化,沖縄県,沖縄の歴史と芸術を学ぶ施設,90,all,all,"#歴史,#アート体験",2,500,800,true,true,true
D014,恩納海浜公園,26.5089,127.8513,自然,沖縄県,美しいビーチでマリンスポーツを楽しめる,120,all,all,"#ビーチ,#マリンスポーツ",4,0,2000,false,false,false
D015,琉球村,26.4863,127.8025,文化,沖縄県,伝統的な琉球文化を体験できるテーマパーク,120,all,all,"#文化,#体験",3,1500,2000,false,true,true
D016,部瀬名海中公園,26.6944,127.8308,自然,沖縄県,海中展望塔とグラスボートで海中観察,75,all,all,"#自然が好き,#海中観察",3,1500,1800,false,true,false
D017,道の駅許田,26.6725,127.8947,ショッピング,沖縄県,沖縄北部観光の拠点となる道の駅,45,all,all,"#ショッピング,#お土産",2,500,1500,true,true,true
D018,今帰仁城跡,26.6917,127.9283,歴史,沖縄県,本部半島にある世界遺産の城跡,60,all,all,"#歴史,#城跡",2,0,0,false,false,false
D019,備瀬のフクギ並木,26.7072,127.8783,自然,沖縄県,昔ながらの沖縄の風景が残る並木道,45,all,all,"#自然が好き,#散策",1,0,0,false,true,true
D020,残波岬,26.4339,127.7058,自然,沖縄県,沖縄本島最西端の絶景岬,30,all,all,"#自然が好き,#絶景",2,0,0,false,false,false
D021,ジャングリア沖縄,26.6424,127.9735,エンターテイメント,沖縄県,新時代のアトラクションテーマパーク,300,all,all,"#エンターテイメント,#自然が好き",5,4000,6000,false,true,true
D022,シーグラスビーチ,26.5121,128.0280,自然,沖縄県,美しいビーチと透明度の高い海,60,all,all,"#ビーチ,#自然が好き",2,0,0,false,false,false
D023,金城町石畳道,26.2079,127.7144,歴史,沖縄県,琉球王国時代の風情が残る石畳の古道を散策,60,all,all,"#歴史,#散策",2,0,0,false,true,true
D024,海中道路,26.3590,127.8890,自然,沖縄県,海の上を走る絶景ドライブコース,45,all,all,"#絶景,#ドライブ",2,0,0,false,true,true
D025,古宇利大橋,26.6850,127.9770,自然,沖縄県,エメラルドグリーンの海を望む絶景スポット,30,all,all,"#絶景,#橋",2,0,0,false,true,true
D026,ナゴパイナップルパーク,26.5930,127.9770,エンターテイメント,沖縄県,パイナップルをテーマにしたファミリー向け施設,90,all,all,"#ファミリー,#ショッピング",3,1000,2000,true,true,true
D027,OKINAWAフルーツらんど,26.5946,127.9776,エンターテイメント,沖縄県,南国フルーツと鳥たちとふれあえる屋内型施設,90,all,all,"#ファミリー,#屋内",3,1000,1800,true,true,true
D028,瀬長島ビーチ,26.1870,127.6450,自然,沖縄県,飛行機の離着陸を望む夕日スポット,60,all,all,"#ビーチ,#夕日",2,0,0,false,true,true
D029,知念岬公園,26.1440,127.8170,自然,沖縄県,太平洋を一望できる岬の公園,45,all,all,"#絶景,#散策",1,0,0,false,true,true
D030,壺屋やちむん通り,26.2147,127.6929,文化,沖縄県,焼き物の工房とショップが並ぶ通り,60,all,all,"#ショッピング,#文化",3,0,0,false,true,true
D031,ガンガラーの谷,26.1620,127.7530,自然,沖縄県,太古の森と洞窟を巡るガイドツアー,120,all,all,"#自然が好き,#洞窟",3,1500,2500,true,false,false
D032,おきなわワールド,26.1610,127.7550,文化,沖縄県,玉泉洞と琉球文化体験が楽しめるテーマパーク,180,all,all,"#文化,#体験",4,2000,3000,false,true,true
